"","Target Name","CT_1","CT_2","Average","difference","Target Name.1","CT_1.1","CT_2.1","Average.1","difference.1"
"sample Control 1","GAPDH","20.616315841674805","20.826160430908203",20.7212381362915,-0.209844589233398,"IL6","29.310317993164062","29.118310928344727",29.2143144607544,0.192007064819336
"sample Control 2","GAPDH","20.827808380126953","20.879043579101562",20.8534259796143,-0.0512351989746094,"IL6","29.232366561889648","29.120523452758789",29.1764450073242,0.111843109130859
"sample LA 16-1","GAPDH","20.450052261352539","20.210735321044922",20.3303937911987,0.239316940307617,"IL6","29.553735733032227","29.342807769775391",29.4482717514038,0.210927963256836
"sample LA 16-2","GAPDH","20.293788909912109","20.446754455566406",20.3702716827393,-0.152965545654297,"IL6","29.595129013061523","29.285379409790039",29.4402542114258,0.309749603271484
"sample LA 2-1","GAPDH","20.592443466186523","19.393098831176758",19.9927711486816,1.19934463500977,"IL6","28.91114616394043","28.902124404907227",28.9066352844238,0.00902175903320312
"sample LA 2-2","GAPDH","22.926271438598633","22.877567291259766",22.9019193649292,0.0487041473388672,"IL6","30.893884658813477","30.713922500610352",30.8039035797119,0.179962158203125
"sample LA 4-1","GAPDH","20.150720596313477","20.170761108398438",20.160740852356,-0.0200405120849609,"IL6","28.526105880737305","28.214107513427734",28.3701066970825,0.31199836730957
"sample LA 4-2","GAPDH","20.512786865234375","20.466617584228516",20.4897022247314,0.0461692810058594,"IL6","29.336593627929688","29.061742782592773",29.1991682052612,0.274850845336914
"sample LA 6-1","GAPDH","21.189857482910156","21.47184944152832",21.3308534622192,-0.281991958618164,"IL6","29.58100700378418","29.509525299072266",29.5452661514282,0.0714817047119141
"sample LA 6-2","GAPDH","19.955278396606445","19.877620697021484",19.916449546814,0.0776576995849609,"IL6","28.706842422485352","28.903505325317383",28.8051738739014,-0.196662902832031
"sample LA 8-1","GAPDH","20.896209716796875","20.758218765258789",20.8272142410278,0.137990951538086,"IL6","28.082998275756836","27.967966079711914",28.0254821777344,0.115032196044922
"sample LA 8-2","GAPDH","20.057846069335938","19.926170349121094",19.9920082092285,0.131675720214844,"IL6","28.485862731933594","28.485698699951172",28.4857807159424,0.000164031982421875
"sample LN 1-1","GAPDH","19.81982421875","19.851934432983398",19.8358793258667,-0.0321102142333984,"IL6","28.821937561035156","28.843816757202148",28.8328771591187,-0.0218791961669922
"sample LN 1-2","GAPDH","23.000192642211914","22.867546081542969",22.9338693618774,0.132646560668945,"IL6","31.700483322143555","31.572044372558594",31.6362638473511,0.128438949584961
"sample LN 10-1","GAPDH","25.371675491333008","26.229711532592773",25.8006935119629,-0.858036041259766,"IL6","33.338733673095703","33.522235870361328",33.4304847717285,-0.183502197265625
"sample LN 10-2","GAPDH","22.017152786254883","21.746753692626953",21.8819532394409,0.27039909362793,"IL6","30.979621887207031","30.930021286010742",30.9548215866089,0.0496006011962891
"sample LN 2.5-2","GAPDH","22.232828140258789","22.16057014465332",22.1966991424561,0.0722579956054688,"IL6","31.161991119384766","30.958276748657227",31.060133934021,0.203714370727539
"sample LN 2.5 -1","GAPDH","22.13995361328125","20.371784210205078",21.2558689117432,1.76816940307617,"IL6","28.626106262207031","28.654558181762695",28.6403322219849,-0.0284519195556641
"sample LN 20-1","GAPDH","20.017778396606445","19.916372299194336",19.9670753479004,0.101406097412109,"IL6","28.97435188293457","29.042499542236328",29.0084257125854,-0.0681476593017578
"sample LN 20-2","GAPDH","20.085292816162109","20.164148330688477",20.1247205734253,-0.0788555145263672,"IL6","29.187484741210938","29.093013763427734",29.1402492523193,0.0944709777832031
"sample LN 5-1","GAPDH","21.14973258972168","21.070093154907227",21.1099128723145,0.0796394348144531,"IL6","30.115617752075195","30.003454208374023",30.0595359802246,0.112163543701172
"sample LN 5-2","GAPDH","23.642585754394531","23.478017807006836",23.5603017807007,0.164567947387695,"IL6","32.256263732910156","32.228725433349609",32.2424945831299,0.0275382995605469
"sample water","GAPDH","Undetermined","Undetermined",NA,NA,"IL6","Undetermined","Undetermined",NA,NA
